player,team,league,position,age,minutes,league_strength,progressive_carries_p90,progressive_passes_p90,crosses_p90,xA_p90,touches_att_3rd_p90,tackles_p90,interceptions_p90,miscontrols_p90,aerial_win_pct,clearances_p90,pass_completion_pct,errors_p90,npxG_p90,shots_p90,touches_box_p90,goals_p90,pressures_p90,tackles_interceptions_p90,market_value_eur,injury_days_last_2y
RAP Player 121,Rapid Wien,Austria Bundesliga,CB,29,1996,0.63,0.834,4.731,0.14,0.0,5.792,1.418,2.353,0.512,72.248,5.183,95.0,0.019,0.074,0.724,1.443,0.007,4.954,3.771,13217901,25
RAP Player 122,Rapid Wien,Austria Bundesliga,CM,24,2028,0.63,1.338,4.636,0.49,0.082,10.64,1.635,1.477,1.215,41.512,0.981,55.613,0.079,0.054,0.725,1.477,0.037,14.484,3.112,1846590,42
RAP Player 123,Rapid Wien,Austria Bundesliga,CM,28,942,0.63,1.753,4.167,0.398,0.055,14.34,1.363,1.16,1.465,44.708,1.663,76.831,0.049,0.083,1.076,2.614,0.009,20.204,2.523,1538515,6
RAP Player 124,Rapid Wien,Austria Bundesliga,RW,21,1544,0.63,2.219,2.807,1.399,0.064,25.165,0.551,0.419,2.07,20.0,0.306,61.783,0.072,0.139,2.059,2.799,0.181,9.059,0.97,1857872,18
STU Player 125,Sturm Graz,Austria Bundesliga,ST,20,1210,0.66,1.826,1.835,0.441,0.144,24.642,0.418,0.279,2.738,64.168,0.85,89.975,0.027,0.365,2.977,5.295,0.27,16.246,0.697,4753440,39
STU Player 126,Sturm Graz,Austria Bundesliga,CB,26,1522,0.66,0.814,4.494,0.139,0.006,4.24,1.11,1.605,0.247,80.768,5.682,95.0,0.042,0.174,0.502,1.211,0.026,5.62,2.715,5155194,19
STU Player 127,Sturm Graz,Austria Bundesliga,CB,25,959,0.66,0.921,3.714,0.081,0.139,3.99,0.911,1.548,0.312,71.892,5.225,95.0,0.053,0.018,0.463,0.953,0.0,6.315,2.459,4438418,51
STU Player 128,Sturm Graz,Austria Bundesliga,CM,17,2111,0.66,2.293,5.706,0.494,0.045,15.819,2.042,1.623,0.972,39.602,1.052,78.833,0.01,0.072,1.142,1.57,0.071,23.426,3.665,2382767,18
STU Player 129,Sturm Graz,Austria Bundesliga,AM,22,2306,0.66,3.079,5.455,0.537,0.14,24.04,2.101,1.195,1.263,45.646,1.325,62.932,0.052,0.068,1.723,3.666,0.122,23.724,3.296,3074180,3
STU Player 130,Sturm Graz,Austria Bundesliga,CB,22,955,0.66,1.004,2.808,0.08,0.079,3.11,1.4,1.522,0.33,75.14,5.133,95.0,0.073,0.004,0.522,1.149,0.048,5.299,2.922,1990817,4
STU Player 131,Sturm Graz,Austria Bundesliga,CM,29,1520,0.66,2.049,3.938,0.54,0.032,20.884,1.181,1.069,1.109,29.421,1.077,95.0,0.062,0.0,0.906,1.538,0.0,19.906,2.25,1023331,25
STU Player 132,Sturm Graz,Austria Bundesliga,CB,19,2174,0.66,0.534,2.667,0.106,0.0,2.541,1.209,1.018,0.285,29.452,4.327,55.909,0.067,0.0,0.324,0.943,0.0,4.354,2.227,1261263,30
STU Player 133,Sturm Graz,Austria Bundesliga,CB,26,2890,0.66,1.177,6.922,0.149,0.068,5.014,1.093,1.741,0.303,77.02,4.851,95.0,0.058,0.062,0.489,1.474,0.089,3.957,2.834,5893009,23
STU Player 134,Sturm Graz,Austria Bundesliga,LW,25,1930,0.66,3.579,2.675,2.023,0.161,18.917,0.743,0.611,2.093,33.542,0.553,59.393,0.022,0.256,2.825,5.122,0.103,15.38,1.354,3739630,27
STU Player 135,Sturm Graz,Austria Bundesliga,CB,24,1823,0.66,0.844,4.12,0.017,0.02,3.977,1.074,1.925,0.326,40.129,5.14,76.727,0.016,0.066,0.521,1.276,0.06,5.24,2.999,2977408,0
STU Player 136,Sturm Graz,Austria Bundesliga,CB,22,1956,0.66,0.696,3.643,0.101,0.025,5.369,0.999,1.618,0.316,59.632,3.899,55.158,0.031,0.0,0.404,0.833,0.045,5.434,2.617,2072260,19
STU Player 137,Sturm Graz,Austria Bundesliga,RW,26,2086,0.66,4.612,1.712,1.33,0.167,37.46,0.81,0.544,1.046,20.0,0.47,63.212,0.038,0.204,2.317,4.144,0.188,14.657,1.354,2202132,59
STU Player 138,Sturm Graz,Austria Bundesliga,CM,26,1797,0.66,2.877,6.352,0.445,0.172,17.907,1.952,1.13,1.519,44.771,1.3,83.514,0.074,0.118,1.183,1.977,0.13,18.947,3.082,3710936,51
STU Player 139,Sturm Graz,Austria Bundesliga,CB,18,2007,0.66,1.239,6.101,0.124,0.088,4.177,1.425,2.358,0.376,58.923,4.365,80.36,0.072,0.153,0.427,1.669,0.126,4.619,3.783,8750454,50
STU Player 140,Sturm Graz,Austria Bundesliga,CM,26,160,0.66,2.402,5.08,0.524,0.129,21.028,2.223,1.607,1.546,53.752,1.232,82.267,0.018,0.055,1.009,2.043,0.121,18.333,3.83,3016067,58
STU Player 141,Sturm Graz,Austria Bundesliga,LW,23,2409,0.66,3.437,3.104,2.812,0.172,34.975,0.948,0.521,2.593,27.914,0.476,95.0,0.018,0.259,2.235,4.747,0.205,14.893,1.469,5175526,14
STU Player 142,Sturm Graz,Austria Bundesliga,RB,30,1800,0.66,1.493,3.684,2.884,0.053,19.846,1.55,1.123,0.804,46.29,1.548,79.075,0.047,0.004,0.324,1.383,0.0,9.248,2.673,2063564,61
MID Player 143,Midtjylland,Danish Superliga,CM,21,779,0.64,1.566,6.809,0.644,0.123,21.708,2.233,1.342,1.648,55.043,1.047,90.477,0.063,0.16,0.975,2.444,0.135,24.115,3.575,6147457,28
MID Player 144,Midtjylland,Danish Superliga,RW,22,316,0.64,4.42,3.226,1.546,0.196,43.55,0.845,0.617,2.426,50.653,0.418,81.105,0.016,0.228,2.751,6.164,0.188,15.447,1.462,7019072,13
MID Player 145,Midtjylland,Danish Superliga,CM,30,2179,0.64,2.024,8.225,0.782,0.205,17.29,2.851,2.026,1.667,68.12,1.364,95.0,0.0,0.207,1.681,2.3,0.156,23.504,4.877,10906930,2
MID Player 146,Midtjylland,Danish Superliga,RW,24,2864,0.64,3.363,3.503,2.263,0.19,37.31,0.7,0.588,2.137,26.159,0.476,95.0,0.003,0.153,2.811,4.345,0.135,15.212,1.288,2354720,72
MID Player 147,Midtjylland,Danish Superliga,ST,24,2479,0.64,1.682,1.997,0.462,0.112,21.653,0.707,0.255,2.476,49.621,0.667,68.033,0.014,0.271,2.892,4.621,0.219,14.814,0.962,4906940,36
MID Player 148,Midtjylland,Danish Superliga,ST,19,2832,0.64,1.395,1.253,0.356,0.033,21.706,0.451,0.235,1.594,44.539,0.379,69.108,0.057,0.387,2.4,2.774,0.195,15.833,0.686,1632104,15
MID Player 149,Midtjylland,Danish Superliga,RW,19,1517,0.64,3.054,2.063,1.995,0.124,25.719,0.81,0.519,1.842,34.549,0.513,64.77,0.023,0.155,2.198,4.321,0.151,15.187,1.329,1880202,46
MID Player 150,Midtjylland,Danish Superliga,DM,24,2451,0.64,2.308,5.636,0.646,0.077,21.018,3.448,1.6,1.354,45.032,1.339,95.0,0.028,0.043,0.963,1.371,0.102,30.16,5.048,3564362,1
MID Player 151,Midtjylland,Danish Superliga,CM,29,1366,0.64,1.777,5.594,0.527,0.061,15.919,1.206,1.405,0.737,40.097,1.291,81.738,0.045,0.128,1.22,2.027,0.088,20.411,2.611,1443482,6
MID Player 152,Midtjylland,Danish Superliga,AM,28,941,0.64,2.556,4.56,0.308,0.118,12.185,1.264,1.626,1.633,31.109,0.99,74.679,0.039,0.084,1.717,2.122,0.093,11.32,2.89,1354457,5
MID Player 153,Midtjylland,Danish Superliga,RW,24,1342,0.64,3.551,2.717,2.213,0.033,22.314,0.754,0.534,2.18,33.728,0.425,60.358,0.06,0.165,1.885,4.166,0.2,13.601,1.288,2712361,67
MID Player 154,Midtjylland,Danish Superliga,CM,23,1383,0.64,2.297,5.978,0.526,0.087,27.562,1.92,1.327,1.805,55.626,1.462,89.217,0.028,0.07,1.193,2.323,0.17,21.274,3.247,2084021,17
MID Player 155,Midtjylland,Danish Superliga,CB,21,1934,0.64,0.576,3.365,0.081,0.0,2.725,1.096,1.41,0.297,41.418,4.742,56.633,0.023,0.0,0.497,1.368,0.02,5.118,2.506,2178507,9
MID Player 156,Midtjylland,Danish Superliga,LB,19,1811,0.64,2.602,2.722,2.311,0.047,20.638,1.581,1.335,1.0,39.44,1.338,61.035,0.027,0.0,0.233,0.596,0.0,12.879,2.916,981421,16
MID Player 157,Midtjylland,Danish Superliga,CB,27,560,0.64,0.584,5.846,0.029,0.0,3.057,0.808,2.113,0.437,54.382,3.187,44.091,0.046,0.007,0.508,1.156,0.036,4.545,2.921,1419974,43
MID Player 158,Midtjylland,Danish Superliga,CM,27,625,0.64,1.354,3.207,0.587,0.071,18.859,1.633,1.217,1.388,44.248,1.01,93.291,0.048,0.023,1.065,2.151,0.025,20.7,2.85,546982,27
MID Player 159,Midtjylland,Danish Superliga,RW,34,1506,0.64,3.921,1.541,1.598,0.187,24.758,0.628,0.728,2.682,36.906,0.43,67.738,0.014,0.162,1.738,3.274,0.085,15.919,1.356,1493953,88
MID Player 160,Midtjylland,Danish Superliga,RB,25,1385,0.64,3.484,5.197,2.595,0.108,14.684,1.578,1.158,1.21,52.979,2.657,70.801,0.002,0.04,0.381,1.815,0.015,16.791,2.736,4076222,8
BRO Player 161,Brondby,Danish Superliga,RB,28,1727,0.6,4.353,5.432,3.013,0.186,19.819,2.553,1.609,1.848,63.272,3.226,95.0,0.038,0.136,0.482,1.905,0.095,17.433,4.162,5651363,0
BRO Player 162,Brondby,Danish Superliga,CM,21,1962,0.6,2.038,3.821,0.532,0.118,19.777,1.503,1.417,1.845,46.858,1.009,78.433,0.039,0.094,0.76,1.574,0.059,17.987,2.92,2378742,20
BRO Player 163,Brondby,Danish Superliga,CM,24,1809,0.6,2.099,5.253,0.665,0.112,18.95,1.648,1.378,1.492,38.62,0.971,80.617,0.029,0.081,1.008,0.984,0.045,17.167,3.026,2173039,74
BRO Player 164,Brondby,Danish Superliga,AM,17,1237,0.6,2.211,6.105,0.675,0.121,20.555,2.084,1.328,1.026,29.245,1.037,91.586,0.045,0.088,1.023,2.764,0.009,20.189,3.412,2991409,36
BRO Player 165,Brondby,Danish Superliga,CB,25,1044,0.6,1.037,5.509,0.059,0.127,6.063,1.474,2.267,0.4,67.797,5.992,89.067,0.054,0.134,0.54,1.183,0.06,6.843,3.741,5260055,25
BRO Player 166,Brondby,Danish Superliga,CB,28,1352,0.6,0.701,4.711,0.063,0.028,3.84,0.917,1.449,0.375,62.909,3.476,86.974,0.121,0.045,0.449,1.384,0.0,4.966,2.366,4429465,21
BRO Player 167,Brondby,Danish Superliga,CB,30,1794,0.6,0.686,3.15,0.089,0.048,4.439,1.189,1.076,0.19,62.371,2.836,71.755,0.036,0.0,0.44,1.1,0.047,5.104,2.265,1509560,13
BRO Player 168,Brondby,Danish Superliga,RB,26,1768,0.6,1.654,4.45,1.91,0.0,21.945,1.262,0.99,1.159,30.352,1.205,91.443,0.067,0.0,0.219,1.505,0.0,10.461,2.252,545526,9
BRO Player 169,Brondby,Danish Superliga,AM,17,1901,0.6,3.984,6.255,0.754,0.229,34.605,2.134,1.766,1.709,65.529,1.473,95.0,0.043,0.213,2.285,3.061,0.22,25.895,3.9,25000000,0
BRO Player 170,Brondby,Danish Superliga,DM,26,2817,0.6,2.202,5.992,0.636,0.042,21.624,2.518,1.747,1.249,46.321,1.302,86.98,0.03,0.038,0.846,1.928,0.049,18.294,4.265,3062488,14
BRO Player 171,Brondby,Danish Superliga,AM,22,1863,0.6,1.616,5.074,0.259,0.12,25.315,1.27,1.173,1.304,32.941,1.144,53.567,0.042,0.089,1.446,1.931,0.0,10.698,2.443,1307162,102
BRO Player 172,Brondby,Danish Superliga,RW,27,1394,0.6,3.128,3.462,0.894,0.181,25.856,0.698,0.776,1.786,28.651,0.464,77.803,0.002,0.171,2.543,4.266,0.167,14.437,1.474,1727246,87
BRO Player 173,Brondby,Danish Superliga,RWB,28,1080,0.6,2.606,4.179,2.451,0.166,17.926,0.77,1.193,1.311,42.18,1.956,71.986,0.048,0.0,0.296,2.3,0.0,12.333,1.963,1008342,28
BRO Player 174,Brondby,Danish Superliga,CB,28,1856,0.6,0.643,5.742,0.069,0.098,5.09,1.42,1.525,0.33,60.39,4.833,85.532,0.067,0.054,0.486,1.052,0.061,4.447,2.945,1685198,31
BRO Player 175,Brondby,Danish Superliga,CM,19,1607,0.6,1.238,3.505,0.596,0.042,13.224,2.187,1.253,1.16,36.015,0.846,32.119,0.064,0.049,0.876,1.943,0.0,13.419,3.44,896327,96
BRO Player 176,Brondby,Danish Superliga,ST,18,1463,0.6,0.95,2.265,0.402,0.095,17.708,0.544,0.26,2.128,51.144,0.371,90.915,0.05,0.277,2.124,4.052,0.318,13.391,0.804,1906831,9
BRO Player 177,Brondby,Danish Superliga,CB,22,1104,0.6,1.052,5.759,0.125,0.076,4.698,1.015,2.501,0.348,82.766,4.659,95.0,0.059,0.099,0.63,1.603,0.123,6.694,3.516,3882596,4
BRO Player 178,Brondby,Danish Superliga,DM,25,646,0.6,1.357,5.027,0.388,0.115,18.953,2.935,1.927,1.161,54.766,1.005,65.143,0.0,0.093,0.851,1.995,0.021,20.182,4.862,2278972,72
AIK Player 179,AIK,Allsvenskan,LW,23,676,0.55,4.783,4.319,1.849,0.161,28.008,0.873,0.675,2.284,44.31,0.463,93.448,0.026,0.218,3.222,3.895,0.184,14.379,1.548,5694564,48
AIK Player 180,AIK,Allsvenskan,AM,25,1214,0.55,3.039,5.897,0.65,0.17,26.602,1.985,1.348,1.859,42.283,1.412,85.235,0.014,0.123,1.283,3.005,0.059,18.91,3.333,1918745,26
AIK Player 181,AIK,Allsvenskan,LB,28,700,0.55,2.675,6.372,3.114,0.084,16.42,2.068,1.252,1.486,60.754,1.892,86.884,0.038,0.048,0.415,1.122,0.002,15.071,3.32,3144169,22
AIK Player 182,AIK,Allsvenskan,LB,23,1672,0.55,3.365,4.937,2.434,0.151,11.083,1.554,1.187,1.026,43.904,1.388,82.182,0.042,0.0,0.289,1.543,0.0,4.897,2.741,3059195,29
AIK Player 183,AIK,Allsvenskan,DM,21,1102,0.55,2.798,7.112,0.669,0.129,21.623,1.71,1.969,1.165,53.122,1.436,94.889,0.0,0.118,1.289,2.264,0.077,26.057,3.679,3574852,33
AIK Player 184,AIK,Allsvenskan,AM,20,120,0.55,2.847,4.535,0.662,0.122,28.088,1.591,1.451,1.357,59.667,0.722,70.638,0.076,0.125,1.264,2.845,0.111,16.545,3.042,1904616,63
AIK Player 185,AIK,Allsvenskan,DM,24,1514,0.55,2.088,5.745,0.513,0.169,15.099,2.118,1.825,1.905,47.153,1.345,79.408,0.0,0.077,1.774,2.37,0.042,20.112,3.943,3943965,46
AIK Player 186,AIK,Allsvenskan,LW,22,2061,0.55,2.909,1.58,1.206,0.103,20.42,0.783,0.406,0.632,24.76,0.411,59.634,0.025,0.238,1.916,3.994,0.106,14.471,1.189,1630108,30
AIK Player 187,AIK,Allsvenskan,DM,28,1827,0.55,1.951,4.833,0.464,0.089,14.797,1.636,1.044,1.137,50.862,1.163,95.0,0.071,0.118,1.448,1.578,0.0,16.283,2.68,2477602,28
AIK Player 188,AIK,Allsvenskan,ST,26,2069,0.55,0.935,2.057,0.363,0.037,16.785,0.379,0.224,1.513,28.184,0.509,55.344,0.035,0.357,2.068,4.919,0.307,14.427,0.603,1808120,61
AIK Player 189,AIK,Allsvenskan,DM,22,371,0.55,2.355,5.966,0.67,0.094,15.675,2.468,1.877,1.196,60.196,1.232,75.986,0.055,0.094,1.199,2.126,0.0,16.167,4.345,2627599,15
AIK Player 190,AIK,Allsvenskan,CM,23,862,0.55,1.947,5.24,0.588,0.199,10.635,1.73,1.454,1.148,58.509,1.442,85.443,0.035,0.106,1.126,2.003,0.09,22.603,3.184,1959573,5
AIK Player 191,AIK,Allsvenskan,CM,25,1878,0.55,2.371,3.675,0.517,0.091,11.359,1.295,1.21,1.82,42.657,1.38,88.776,0.035,0.1,0.582,2.297,0.035,5.67,2.505,1224005,47
AIK Player 192,AIK,Allsvenskan,AM,21,701,0.55,2.594,4.793,0.742,0.094,24.665,1.809,0.952,0.946,47.703,1.665,91.904,0.0,0.157,1.39,3.171,0.054,20.168,2.761,3166209,14
AIK Player 193,AIK,Allsvenskan,CM,26,1902,0.55,2.386,4.711,0.44,0.179,15.792,1.592,1.379,1.315,44.205,1.194,82.197,0.0,0.175,1.066,2.229,0.014,17.178,2.971,2383703,75
AIK Player 194,AIK,Allsvenskan,LW,21,1255,0.55,5.032,1.659,1.415,0.075,22.591,0.647,0.389,1.812,20.0,0.383,90.796,0.036,0.169,1.393,3.268,0.151,18.307,1.036,3241919,41
AIK Player 195,AIK,Allsvenskan,DM,23,1419,0.55,1.784,6.227,0.892,0.102,20.083,2.459,2.016,1.203,65.449,1.984,95.0,0.021,0.125,1.296,3.35,0.135,19.132,4.475,9101572,0
AIK Player 196,AIK,Allsvenskan,RB,22,2159,0.55,3.287,3.823,2.403,0.128,16.987,1.723,1.389,1.4,50.158,2.776,80.733,0.035,0.0,0.34,1.354,0.003,13.668,3.112,5426822,62
MOL Player 197,Molde,Eliteserien,RW,17,1595,0.57,4.263,3.988,2.502,0.192,24.32,0.72,0.59,1.866,38.611,0.537,58.907,0.032,0.145,2.085,4.661,0.2,14.97,1.31,3953263,27
MOL Player 198,Molde,Eliteserien,ST,28,2327,0.57,1.873,2.125,0.47,0.063,30.471,0.573,0.288,2.172,52.325,0.423,84.865,0.024,0.355,2.76,5.058,0.322,19.833,0.861,5610951,31
MOL Player 199,Molde,Eliteserien,RWB,29,1010,0.57,1.754,5.469,3.509,0.101,10.183,1.891,0.972,1.201,50.221,2.083,69.661,0.033,0.011,0.308,1.386,0.031,12.416,2.863,1243549,15
MOL Player 200,Molde,Eliteserien,AM,26,2282,0.57,2.683,4.959,0.343,0.185,14.666,1.797,1.39,1.261,39.149,1.296,50.002,0.036,0.082,1.43,2.938,0.056,20.342,3.187,2270127,11
MOL Player 201,Molde,Eliteserien,CM,21,1828,0.57,1.42,3.629,0.668,0.074,19.594,2.132,1.084,0.97,65.426,1.318,78.378,0.027,0.059,1.325,1.746,0.121,18.013,3.216,2402265,14
MOL Player 202,Molde,Eliteserien,RW,23,2086,0.57,4.125,2.626,2.048,0.101,29.293,0.384,0.55,1.363,20.0,0.274,58.106,0.056,0.084,0.731,4.612,0.14,9.021,0.934,1128006,62
MOL Player 203,Molde,Eliteserien,RB,28,1075,0.57,2.8,4.271,2.314,0.104,18.191,1.35,1.397,1.132,43.204,1.889,83.878,0.048,0.004,0.499,1.362,0.019,18.024,2.747,2132018,64
MOL Player 204,Molde,Eliteserien,DM,24,2101,0.57,1.442,4.108,0.563,0.071,19.076,2.546,1.214,1.002,30.263,1.906,81.23,0.02,0.079,1.122,1.734,0.092,26.222,3.76,1573268,9
MOL Player 205,Molde,Eliteserien,CM,28,1461,0.57,1.682,6.148,0.557,0.091,20.271,1.74,1.34,1.308,55.846,1.6,93.083,0.036,0.073,1.249,2.077,0.014,17.837,3.08,2453617,13
MOL Player 206,Molde,Eliteserien,LW,29,1721,0.57,3.372,2.834,2.025,0.108,27.056,0.756,0.655,2.424,31.273,0.552,73.001,0.019,0.27,1.414,4.542,0.226,13.722,1.411,2531431,4
MOL Player 207,Molde,Eliteserien,CM,24,2430,0.57,1.809,4.94,0.707,0.095,11.807,1.924,1.097,1.823,53.507,1.078,77.991,0.011,0.16,1.678,2.449,0.086,18.867,3.021,3490095,105
MOL Player 208,Molde,Eliteserien,CB,30,418,0.57,0.708,3.616,0.078,0.12,2.819,1.159,1.774,0.276,58.412,3.2,79.076,0.063,0.043,0.601,1.218,0.013,3.429,2.933,1002456,21
MOL Player 209,Molde,Eliteserien,DM,20,777,0.57,1.51,2.641,0.361,0.035,9.624,1.896,1.596,0.9,34.294,1.309,54.702,0.08,0.086,1.014,1.974,0.0,20.38,3.492,1164653,61
MOL Player 210,Molde,Eliteserien,LW,23,1788,0.57,4.658,1.807,1.709,0.232,25.121,0.732,0.472,2.265,28.537,0.463,84.927,0.049,0.247,2.465,4.359,0.28,18.776,1.204,2850730,9
MOL Player 211,Molde,Eliteserien,AM,31,2510,0.57,2.192,6.197,0.508,0.094,26.724,2.158,1.785,1.552,57.626,1.077,89.078,0.0,0.183,1.349,3.299,0.159,18.437,3.943,4589422,8
MOL Player 212,Molde,Eliteserien,CM,22,1263,0.57,1.864,6.831,0.623,0.196,23.341,2.363,1.467,1.409,68.28,1.909,95.0,0.027,0.256,1.383,3.059,0.1,23.344,3.83,10115976,25
MOL Player 213,Molde,Eliteserien,LW,28,2324,0.57,6.323,3.383,2.238,0.259,39.722,0.788,0.585,2.816,40.11,0.588,95.0,0.041,0.18,2.587,5.81,0.144,16.808,1.373,4949658,17
MOL Player 214,Molde,Eliteserien,LW,21,1892,0.57,4.693,3.211,2.256,0.244,38.626,0.684,0.736,2.74,39.552,0.647,82.85,0.027,0.148,2.207,4.107,0.129,21.662,1.42,4992121,20
AZ  Player 215,AZ Alkmaar,Eredivisie,CM,28,1012,0.72,2.346,3.184,0.593,0.083,17.508,1.618,1.438,1.799,44.863,1.269,95.0,0.076,0.1,1.491,2.299,0.082,18.74,3.056,2033135,25
AZ  Player 216,AZ Alkmaar,Eredivisie,DM,23,1386,0.72,2.728,5.125,0.591,0.145,25.643,2.912,1.459,1.386,44.783,1.534,95.0,0.0,0.097,1.294,2.486,0.117,25.73,4.371,2905924,58
AZ  Player 217,AZ Alkmaar,Eredivisie,LB,19,1553,0.72,3.527,3.201,2.586,0.064,20.33,2.012,1.543,1.29,54.621,2.601,54.577,0.047,0.027,0.314,1.825,0.0,12.905,3.555,3610820,42
AZ  Player 218,AZ Alkmaar,Eredivisie,AM,24,2204,0.72,2.53,6.955,0.634,0.239,25.431,2.051,1.619,1.637,64.278,1.645,95.0,0.032,0.197,2.155,2.946,0.096,24.086,3.67,20023175,18
AZ  Player 219,AZ Alkmaar,Eredivisie,AM,31,880,0.72,2.67,2.817,0.701,0.133,25.571,1.844,1.233,0.91,42.477,0.861,83.845,0.077,0.123,1.57,2.219,0.05,19.146,3.077,1176633,33
AZ  Player 220,AZ Alkmaar,Eredivisie,CM,27,2126,0.72,2.032,4.031,0.531,0.127,18.778,1.874,1.769,0.963,32.858,0.885,68.958,0.046,0.049,1.142,1.904,0.016,18.995,3.643,2489795,13
AZ  Player 221,AZ Alkmaar,Eredivisie,CB,20,1067,0.72,0.738,3.625,0.053,0.029,4.376,1.307,1.719,0.21,54.864,4.173,77.972,0.078,0.075,0.406,1.259,0.058,4.238,3.026,4130687,19
AZ  Player 222,AZ Alkmaar,Eredivisie,CM,25,1402,0.72,1.703,5.811,0.592,0.106,19.205,1.376,1.143,0.72,53.206,0.904,84.828,0.052,0.051,1.081,2.659,0.137,22.666,2.519,3449995,7
AZ  Player 223,AZ Alkmaar,Eredivisie,CB,26,1138,0.72,0.911,4.114,0.115,0.0,2.842,1.565,2.511,0.321,44.296,3.711,90.81,0.027,0.03,0.509,1.267,0.011,3.332,4.076,3372436,60
AZ  Player 224,AZ Alkmaar,Eredivisie,DM,22,1000,0.72,2.401,6.35,0.854,0.089,18.23,2.494,1.697,1.664,52.113,1.332,94.315,0.048,0.147,1.337,2.374,0.093,18.619,4.191,5663924,12
AZ  Player 225,AZ Alkmaar,Eredivisie,DM,27,1796,0.72,1.474,4.92,0.606,0.107,19.5,2.535,1.43,1.109,61.422,1.647,75.637,0.039,0.099,1.192,2.993,0.075,21.317,3.965,1653881,14
AZ  Player 226,AZ Alkmaar,Eredivisie,RW,17,1988,0.72,3.407,4.295,1.352,0.255,36.854,0.608,0.792,3.213,45.603,0.674,86.088,0.025,0.355,3.058,3.663,0.157,16.976,1.4,5718911,16
AZ  Player 227,AZ Alkmaar,Eredivisie,LW,27,1940,0.72,3.689,1.524,1.736,0.144,29.039,0.808,0.59,1.939,34.701,0.567,68.634,0.032,0.175,2.181,3.622,0.159,15.038,1.398,2137901,18
AZ  Player 228,AZ Alkmaar,Eredivisie,AM,26,1700,0.72,2.589,7.701,0.616,0.12,21.135,1.359,1.972,1.789,58.661,1.107,95.0,0.026,0.213,1.764,4.01,0.126,19.429,3.331,4253220,0
AZ  Player 229,AZ Alkmaar,Eredivisie,CM,26,1563,0.72,1.852,5.632,0.58,0.077,12.982,1.897,0.356,1.244,66.944,0.695,69.084,0.041,0.112,1.073,1.822,0.072,16.795,2.253,5672149,31
AZ  Player 230,AZ Alkmaar,Eredivisie,AM,22,2295,0.72,1.061,4.4,0.668,0.092,18.077,0.842,1.302,1.264,23.203,1.28,82.409,0.065,0.116,1.35,2.635,0.0,10.251,2.144,1362723,25
AZ  Player 231,AZ Alkmaar,Eredivisie,RW,28,2296,0.72,3.866,2.032,1.715,0.147,6.407,1.102,0.605,1.708,44.828,0.413,69.136,0.072,0.189,1.943,4.999,0.157,14.151,1.707,2917113,144
AZ  Player 232,AZ Alkmaar,Eredivisie,RWB,25,2401,0.72,2.443,2.793,1.728,0.061,16.504,2.179,1.242,1.044,35.213,2.406,89.967,0.027,0.057,0.292,1.51,0.093,12.599,3.421,2053708,36
UTR Player 233,Utrecht,Eredivisie,LW,27,2276,0.66,3.638,2.157,1.865,0.128,22.815,1.073,0.634,2.37,39.878,0.558,66.005,0.028,0.23,2.165,3.899,0.098,15.871,1.707,2569410,2
UTR Player 234,Utrecht,Eredivisie,AM,34,1295,0.66,1.855,5.081,0.585,0.081,21.069,0.971,1.569,1.016,44.564,0.78,67.967,0.045,0.133,1.749,2.813,0.113,23.267,2.54,1526069,24
UTR Player 235,Utrecht,Eredivisie,CM,27,604,0.66,1.688,5.486,0.537,0.12,20.917,2.05,1.596,0.899,47.786,0.933,47.245,0.075,0.093,1.433,1.869,0.143,17.756,3.646,1537679,8
UTR Player 236,Utrecht,Eredivisie,CB,21,2382,0.66,1.229,4.266,0.133,0.052,5.182,1.74,2.061,0.46,81.742,4.914,95.0,0.078,0.122,0.572,1.205,0.088,7.369,3.801,7878134,30
UTR Player 237,Utrecht,Eredivisie,LW,23,1638,0.66,4.749,3.407,2.066,0.24,44.385,1.225,0.748,2.906,41.141,0.656,95.0,0.016,0.291,2.409,5.094,0.28,27.973,1.973,5284383,0
UTR Player 238,Utrecht,Eredivisie,CB,28,1934,0.66,1.014,3.529,0.095,0.024,2.815,0.946,1.354,0.352,66.322,5.143,54.828,0.062,0.0,0.633,0.722,0.069,4.215,2.3,4555534,42
UTR Player 239,Utrecht,Eredivisie,CB,26,1415,0.66,0.75,4.687,0.046,0.074,3.735,0.882,2.269,0.301,86.62,5.669,71.899,0.051,0.105,0.552,1.156,0.026,5.027,3.151,5099675,23
UTR Player 240,Utrecht,Eredivisie,LB,22,638,0.66,3.387,3.909,2.627,0.0,18.425,1.492,0.976,1.325,36.486,0.97,85.364,0.031,0.0,0.246,1.432,0.062,12.358,2.468,1066792,31
UTR Player 241,Utrecht,Eredivisie,LB,26,120,0.66,2.421,3.515,2.569,0.133,13.271,2.051,1.462,1.505,40.136,1.739,95.0,0.046,0.04,0.419,1.086,0.03,15.446,3.513,2014214,34
UTR Player 242,Utrecht,Eredivisie,CM,27,120,0.66,2.731,6.914,0.672,0.098,16.46,1.766,1.611,1.144,57.268,1.762,85.426,0.01,0.141,1.133,2.434,0.059,22.947,3.377,2543037,9
UTR Player 243,Utrecht,Eredivisie,CM,32,1487,0.66,1.94,4.508,0.618,0.163,17.518,1.626,1.552,1.53,67.484,1.378,95.0,0.01,0.081,0.947,1.622,0.121,21.572,3.178,2934261,5
